MK_NM,MK_LAT,MK_LNG
일산시장,37.6856229,126.7708259
원당시장,37.6560447,126.8373471
능곡시장,37.620944,126.8210835
덕이동패션1번지,37.6930207,126.7557884
원미종합시장,37.4953309,126.7910203
원미부흥시장,37.4926551,126.7900694
역곡북부시장,37.4864151,126.8127118
강남시장,37.5075064,126.7804734
부천중동시장,37.4958449,126.7645374
부천상동시장,37.4927115,126.7641505
청과물시장,37.4815783,126.7779876
부천자유시장,37.484644,126.7765971
소사종합시장,37.4798861,126.7934811
부천한신시장,37.4748298,126.7990333
조공시장,37.4806355,126.8044863
역곡남부시장,37.4830571,126.811059
원종종합시장,37.5186238,126.8058508
원종시장,37.5196983,126.8061021
부천제일시장,37.5279687,126.8089582
원종중앙시장,37.5250654,126.8023172
고강시장,37.5261423,126.8216342
오정시장,37.5242638,126.7862099
신흥시장,37.5161948,126.7710275
덕정시장,37.8428967,127.0635051
가납시장,37.8237049,126.9843227
신산시장,37.8969282,126.9744722
구룡포시장,35.9902741,129.5540604
도구시장,35.9882679,129.4400755
장기시장,35.8915757,129.4914307
흥해시장,36.1106012,129.3483565
신광시장,36.1298903,129.2617439
청하시장,36.1968038,129.3404944
송라시장,36.2282019,129.357997
기계시장,36.0700334,129.2081448
죽장시장,36.161534,129.095439
기북시장,36.1295199,129.1666491
북부시장,36.0466279,129.3689227
남부시장,36.0126294,129.3561744
해도5시장(형산시장),36.0127437,129.3663961
상대종합시장,36.0199576,129.3610327
동해종합시장,36.0258244,129.370943
포항큰동해시장,36.0260371,129.3714876
대해종합시장,36.0187886,129.3685785
송도시장,36.0328137,129.3752433
청림시장,35.9965202,129.4103498
양학시장,36.0271322,129.3498885
포항중앙상가,36.0384099,129.3644766
죽도시장,36.0363478,129.3683915
현대종합시장,36.0258379,129.3667138
포항죽도어시장,36.0366255,129.3686143
죽도농산물시장,36.0363478,129.3683915
중앙시장,36.0231293,129.3554154
서부시장,36.0302813,129.3583515
